CATCHMENT,BaselineKg,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_max,S2_max,S3a_max,S3b_max,S4_max
SOUTH DEVON (a),13435.34826,0.013550067,0.040275509,0.115971089,0.131684235,0.317121578,0.041264787,0.131825567,0.316149,0.40696461,0.663288238,0.089134134,0.306453493,0.570651129,0.754626714,0.902267681
SOUTH DEVON (b),3652.76823,0.043900529,0.065244667,0.122233057,0.139833327,0.329852612,0.122378621,0.194263631,0.323842204,0.419081442,0.676185903,0.242694226,0.413815302,0.574149135,0.762897538,0.907938133
TAMAR - TAVY,32258.67754,0.022546429,0.040531792,0.106594654,0.122980818,0.292785443,0.076191604,0.139295405,0.304453338,0.400470001,0.644890194,0.181120921,0.333880687,0.562957949,0.754612095,0.893442206
"Taw, Torridge & North Devon Streams",15567.30055,0.000977389,0.023063106,0.115030215,0.132768769,0.313109398,0.003255825,0.093286721,0.311985257,0.411089128,0.662079073,0.007795175,0.236189266,0.559148475,0.757060397,0.901809492
The Leam,3174.773485,0.000932398,0.023648079,0.145592358,0.164953072,0.343741243,0.003249551,0.099283903,0.354368155,0.457524436,0.693665459,0.008135186,0.257896619,0.590556126,0.790601108,0.915378797
THE STOUR (including Isle of Thanet),3315.588362,0.028156003,0.059283025,0.164293763,0.188206527,0.377624603,0.076272622,0.180084997,0.386773207,0.497828712,0.726853728,0.170136519,0.413992713,0.624094486,0.826442453,0.930990971
"TWEED, ALN, COQUET AND COASTAL STREAMS",13713.36457,0.013694505,0.033978917,0.138251482,0.156243915,0.322530992,0.047629288,0.11725438,0.358560619,0.457973352,0.676652179,0.123950776,0.291162427,0.61905368,0.806245724,0.909450836
UPPER CHERWELL,4264.015489,0.013084502,0.035231208,0.136127923,0.153029139,0.336679777,0.047882905,0.123678997,0.340273937,0.435773304,0.684480195,0.12930687,0.309078067,0.578865801,0.77199875,0.911025365
Upper Great Ouse,16527.96909,0.000967022,0.022548175,0.139050725,0.157000754,0.33662272,0.003501451,0.09639703,0.343659732,0.443415828,0.685491623,0.009425457,0.252541971,0.57890064,0.777794113,0.91138865
UPPER LEE & STORT,2262.00019,0.025575672,0.040602995,0.195458811,0.214023951,0.383584509,0.098035679,0.152478733,0.447498107,0.54565273,0.743187999,0.253465653,0.383461398,0.692078293,0.871054064,0.943414097
UPPER RODING,2481.117775,0.042153903,0.056777495,0.165335505,0.185786134,0.36553185,0.132018706,0.183287469,0.395322098,0.498725949,0.721406823,0.310212256,0.430907028,0.638142106,0.830080655,0.931689347
WAVENEY,13011.53617,0.04437938,0.063009628,0.169442616,0.189747514,0.371533858,0.143866928,0.206253967,0.410274,0.509032432,0.729079558,0.323875164,0.468667825,0.663929113,0.843752851,0.934812255
WEST CORNWALL CATCHMENTS,5412.461425,0.018463623,0.042805701,0.117901628,0.136202666,0.331265296,0.059806165,0.13958114,0.314479684,0.413022033,0.678005486,0.139511946,0.326620766,0.55961544,0.756840091,0.908995983
WEST CUMBRIAN CATCHMENTS,15243.10728,0.008363857,0.026709526,0.103312477,0.116216286,0.301735259,0.039137853,0.101405004,0.300478278,0.383000153,0.647019791,0.108854478,0.258400157,0.56386547,0.737142779,0.895380405
WEST MIDLANDS MERES AND MOSSES,3861.370261,0.017559874,0.037235013,0.111937477,0.130780889,0.321161624,0.062644528,0.128828265,0.301104306,0.402824624,0.668680302,0.151970136,0.309030418,0.536566244,0.743414869,0.904324499
YARE,6028.977405,0.063004828,0.075035113,0.157382739,0.176306522,0.362313284,0.182366756,0.223237947,0.39592921,0.490920791,0.720965263,0.390634061,0.486406113,0.653357932,0.830337563,0.931674257
YORKSHIRE DERWENT,32356.56666,0.010994903,0.036903034,0.133231732,0.150566228,0.322740887,0.039085043,0.126945379,0.348444616,0.444720769,0.67586164,0.099178461,0.308276845,0.606307808,0.791515146,0.907916564
"YORKSHIRE OUSE, NIDD AND SWALE",16230.02736,0.009920323,0.028984438,0.12214212,0.139903481,0.316664378,0.042836479,0.108391608,0.31923411,0.419335753,0.666832541,0.120062714,0.276753601,0.56093507,0.76110344,0.902398953
