CATCHMENT,BaselineLoss,S1_min,S2_min,S3a_min,S3b_min,S4_min,S1_typ,S2_typ,S3a_typ,S3b_typ,S4_typ,S1_Max,S2_Max,S3a_Max,S3b_max,S4_Max
River Nene,4556.786048,4.09343E-05,0.013189847,0.09420576,0.104420031,0.225885652,0.000148844,0.072947027,0.258056815,0.364002033,0.587534205,0.00036041,0.201623695,0.47295505,0.708255507,0.864981269
River Nidd,3289.89465,0.001583868,0.019045586,0.070757298,0.086264111,0.210739189,0.005789986,0.076463057,0.234612229,0.34614873,0.566969848,0.01431457,0.194077657,0.474605621,0.708153491,0.85467592
RIVER PERRY,2123.706341,0.011809674,0.029873076,0.066113836,0.080647673,0.225506565,0.033913607,0.101437541,0.208570988,0.313096062,0.57574368,0.074709818,0.242663032,0.418698157,0.656056692,0.857355514
"RIVER PIDDLE, RIVER FROME AND FLEET LAGOON",5162.453099,0.04569932,0.053849671,0.072902538,0.086116418,0.225236422,0.144121962,0.177252756,0.220800816,0.324125941,0.57769933,0.31071776,0.39439202,0.434144929,0.668272398,0.857969789
RIVER RIBBLE,17292.46983,0.011370934,0.024407026,0.06966327,0.08387608,0.218254654,0.047884164,0.100537012,0.225325156,0.330438034,0.57302225,0.128486193,0.262212723,0.453280841,0.683637836,0.856684498
RIVER RODEN,1208.765832,0.001061956,0.013282379,0.080005905,0.0918901,0.221730025,0.006247003,0.070437061,0.245467626,0.349228428,0.585671106,0.018258808,0.185971879,0.472606078,0.700455575,0.865720063
RIVER TEME,5060.564448,0.029359671,0.038857847,0.086589883,0.099253602,0.223263434,0.097729375,0.137746076,0.24758323,0.357184098,0.580357992,0.215113436,0.317920133,0.472763192,0.708849239,0.858508705
RIVER TERN,2961.088092,0.009055253,0.023367047,0.071341986,0.085684797,0.224989982,0.034152842,0.093080536,0.226118884,0.331135012,0.582140016,0.08399453,0.233596407,0.450418755,0.680815146,0.861294389
RIVER WENSUM,1086.413639,0.000148927,0.007068215,0.093182188,0.100848586,0.208939165,0.093844556,0.137678938,0.290866181,0.387226475,0.594568333,0.244554426,0.36188624,0.55086199,0.756228118,0.878026918
RIVER WORFE,481.0656561,0.000744525,0.013893545,0.089457322,0.100261801,0.221672984,0.006945162,0.088082551,0.271017774,0.377395492,0.597081861,0.019654933,0.238577722,0.511397679,0.734340845,0.873570501
RIVER WYE,2188.149345,0.029330042,0.038298521,0.084458389,0.096981785,0.222379711,0.101224733,0.140412235,0.24946311,0.358195735,0.58456545,0.24251751,0.343076993,0.476550968,0.710513069,0.863705995
RIVER WYRE,25671.25856,0.016538283,0.025606953,0.066629464,0.082333053,0.221569809,0.071172211,0.105301667,0.215717538,0.324624249,0.574049133,0.186255759,0.271644136,0.436183546,0.674406515,0.857314282
RIVERS AXE AND OTTER,10930.74286,0.018966955,0.027657116,0.067349346,0.082246658,0.226638178,0.075655029,0.110983547,0.211081532,0.316924781,0.577880874,0.192295374,0.281637871,0.422880569,0.660739883,0.858411336
Rivers Chelmer and Blackwater,3450.559142,0.001705112,0.013475559,0.10328648,0.110173667,0.21282045,0.013035716,0.088879999,0.304442985,0.403184413,0.597692121,0.038460301,0.251146427,0.551322502,0.762084209,0.879760074
RIVERS KENT & LEVEN,7622.316087,0.00079666,0.019737915,0.072127569,0.086254407,0.205096531,0.008543503,0.077787046,0.239663996,0.347979526,0.560473582,0.029938488,0.204015453,0.485075294,0.713267801,0.850706535
RIVERS LAMBOURN AND KENNET,2340.384836,0.004926906,0.009498047,0.092093537,0.104976361,0.23031186,0.040086054,0.060613791,0.257866864,0.36904911,0.593387908,0.115383498,0.168238171,0.484170273,0.719348024,0.86591927
RIVERS MEDWAY & EDEN,7008.680824,0.002247572,0.020076832,0.0776503,0.090598378,0.226657551,0.006424375,0.08160822,0.227902839,0.33407948,0.58152332,0.014560429,0.205275956,0.439844363,0.677809609,0.860538408
RIVERS STOUR AND COLNE,3532.073688,0.004305407,0.015593219,0.108266849,0.115220958,0.216711666,0.032882936,0.105955776,0.305067389,0.406303185,0.597954126,0.102586216,0.299580704,0.542431343,0.759767456,0.878298088
RIVERS STRAT & NEET,2777.947491,0.011177685,0.021318951,0.078320637,0.089825412,0.217978842,0.042667323,0.090500092,0.246662884,0.342432023,0.575661973,0.107497556,0.233952571,0.494329008,0.703100409,0.853552516
RIVERS TEST AND ITCHEN,3794.270057,0.00616681,0.021049037,0.080805493,0.09252124,0.225189798,0.034356276,0.098169543,0.235106322,0.337440996,0.580045315,0.088929031,0.252114926,0.453040656,0.68345009,0.858148789
RIVERS WAVER AND WAMPOOL,3255.71452,0.062986666,0.068815327,0.065098839,0.081018324,0.2266928,0.143558923,0.166346772,0.207159931,0.315375019,0.57714937,0.276218062,0.333493116,0.418124403,0.659341926,0.858418628
"SEATON, EAST LOOE & FOWEY",2161.513384,0.007205329,0.022878272,0.077447753,0.090789909,0.228626564,0.029263279,0.089091383,0.221366536,0.328960621,0.578921221,0.077167526,0.226647012,0.427537152,0.670175818,0.857196227
Semerwater and Upper Lune,8441.652368,0.001396647,0.020346074,0.074875174,0.089076292,0.201746433,0.003204981,0.078011014,0.252625288,0.361178162,0.560941992,0.006225571,0.196483089,0.512714573,0.734106961,0.85093674
SOMERSET LEVELS & MOORS,21528.60617,0.007809596,0.020322576,0.069694545,0.084348076,0.225781159,0.028800908,0.08080637,0.219036367,0.324745054,0.579983299,0.074482884,0.206664058,0.436970322,0.671452832,0.859889376
SOUTH DEVON (a),7735.231898,0.009815838,0.026639119,0.074440944,0.088322396,0.220273297,0.033276182,0.097363908,0.226962659,0.334896832,0.572894108,0.074620653,0.235798026,0.447764184,0.684969438,0.855561742
